1;atomic;0.0653195
1;critical;0.633771
1;lock;0.511169
1;reduction;0.0320039
2;atomic;0.0934054
2;critical;0.870231
2;lock;1.01709
2;reduction;0.0182904
3;atomic;0.125204
3;critical;1.50343
3;lock;1.67571
3;reduction;0.0218211
4;atomic;0.129367
4;critical;1.6263
4;lock;1.81013
4;reduction;0.013574
5;atomic;0.126799
5;critical;2.18407
5;lock;2.17088
5;reduction;0.0131412
6;atomic;0.126609
6;critical;2.003
6;lock;2.22031
6;reduction;0.0141103
7;atomic;0.131861
7;critical;2.1468
7;lock;2.49003
7;reduction;0.0121717
8;atomic;0.115704
8;critical;2.47187
8;lock;2.75025
8;reduction;0.0100518
9;atomic;0.132839
9;critical;8.99214
9;lock;10.2877
9;reduction;0.0163032
10;atomic;0.122502
10;critical;14.0136
10;lock;16.4617
10;reduction;0.0153129
